,T [L = 10],SEED: 1665735587,SEED: 1665735585,SEED: 1665735588,SEED: 1665736104,SEED: 1665736105,SEED: 1665736102,SEED: 1665735583,SEED: 1665735584,SEED: 1665735589,SEED: 1665735586,SEED: 1665736106,SEED: 1665736103,Average
0,2.0,0.657948,0.658564,0.659585,0.6592,0.658641,0.656417,0.657544,0.657987,0.657462,0.656063,0.657841,0.656686,0.6578281666666667
1,2.02,0.656575,0.6577,0.657906,0.653126,0.657276,0.655095,0.654433,0.657071,0.657855,0.655584,0.65729,0.656565,0.656373
2,2.04,0.653839,0.65415,0.65571,0.654002,0.655382,0.654664,0.654394,0.655918,0.656621,0.655691,0.655062,0.657299,0.6552276666666667
3,2.06,0.653664,0.653568,0.648662,0.653436,0.653008,0.648811,0.649919,0.655466,0.652593,0.651393,0.654113,0.653719,0.6523626666666665
4,2.08,0.654238,0.652554,0.649901,0.646327,0.654162,0.651082,0.64989,0.65279,0.651823,0.652152,0.653825,0.650886,0.6516358333333333
5,2.1,0.650377,0.652749,0.652648,0.650889,0.650446,0.650435,0.651185,0.648538,0.644472,0.646683,0.649603,0.649302,0.6497772500000001
6,2.12,0.648902,0.649356,0.647929,0.645742,0.645915,0.642593,0.649232,0.644927,0.64702,0.646087,0.642998,0.644989,0.6463075
7,2.14,0.643948,0.641474,0.643408,0.645306,0.642071,0.647864,0.642685,0.641213,0.646089,0.643621,0.637196,0.640761,0.6429696666666667
8,2.16,0.64513,0.633267,0.634642,0.637991,0.644025,0.640075,0.639741,0.642466,0.639358,0.635853,0.636857,0.637958,0.6389469166666667
9,2.18,0.6366,0.634259,0.637406,0.639507,0.62943,0.641103,0.63369,0.643496,0.641284,0.625227,0.636387,0.63702,0.6362840833333333
10,2.2,0.624576,0.632379,0.628628,0.637296,0.63045,0.626996,0.631786,0.639997,0.63456,0.629973,0.634899,0.634506,0.6321705000000001
11,2.22,0.632151,0.620474,0.632607,0.628891,0.624941,0.627318,0.621372,0.62194,0.61977,0.628209,0.630484,0.626548,0.6262254166666666
12,2.24,0.623326,0.619899,0.61769,0.613867,0.617788,0.62634,0.628189,0.624261,0.624031,0.609747,0.62195,0.618612,0.620475
13,2.26,0.618093,0.612794,0.615264,0.60909,0.619488,0.619128,0.6118,0.60849,0.61644,0.602657,0.619123,0.619239,0.6143005
14,2.28,0.605848,0.607429,0.612929,0.616529,0.603127,0.612286,0.606764,0.602592,0.609442,0.616101,0.621962,0.611375,0.610532
15,2.3,0.614291,0.600476,0.601431,0.609028,0.590462,0.606886,0.605386,0.610066,0.59485,0.61148,0.602292,0.603823,0.6042059166666668
16,2.32,0.593024,0.599082,0.59732,0.592968,0.600575,0.596473,0.598817,0.587718,0.59995,0.598433,0.598611,0.591624,0.59621625
17,2.34,0.579876,0.583576,0.582486,0.581598,0.593434,0.587336,0.600019,0.587786,0.58524,0.580457,0.59797,0.586554,0.5871943333333333
18,2.36,0.583701,0.591854,0.585726,0.573659,0.581879,0.582809,0.58502,0.573233,0.56826,0.579717,0.58132,0.576889,0.5803389166666667
19,2.38,0.571893,0.577112,0.560924,0.548712,0.555156,0.568925,0.565576,0.561468,0.562551,0.568057,0.571256,0.572933,0.5653802499999999
