,T [L = 40],SEED: 1666248252,SEED: 1666248256,SEED: 1666248251,SEED: 1666248255,SEED: 1666248274,SEED: 1666248257,SEED: 1666248277,SEED: 1666248254,SEED: 1666248278,SEED: 1666248253,SEED: 1666248276,SEED: 1666248275,Average
0,2.0,0.66572,0.665933,0.666134,0.665791,0.665726,0.665758,0.66586,0.666243,0.666223,0.666119,0.666214,0.665998,0.6659765833333333
1,2.02,0.666039,0.665588,0.665846,0.666258,0.666077,0.665741,0.665884,0.665402,0.665012,0.666085,0.665935,0.665974,0.6658200833333334
2,2.04,0.665787,0.665588,0.665998,0.66589,0.665697,0.665553,0.666139,0.665772,0.664994,0.665658,0.665619,0.665629,0.6656936666666667
3,2.06,0.665256,0.665744,0.665818,0.66573,0.665494,0.665452,0.665694,0.665993,0.665849,0.666225,0.665356,0.661469,0.66534
4,2.08,0.663852,0.665388,0.665395,0.665339,0.665832,0.665555,0.665393,0.663301,0.664961,0.665492,0.665642,0.665822,0.6651643333333334
5,2.1,0.66463,0.664647,0.66498,0.66518,0.665429,0.665262,0.664705,0.66532,0.665575,0.665095,0.665016,0.664546,0.6650320833333333
6,2.12,0.664761,0.665215,0.663631,0.665631,0.664304,0.665194,0.661288,0.664544,0.665759,0.66444,0.665403,0.664891,0.6645884166666668
7,2.14,0.66573,0.664958,0.660036,0.665344,0.663419,0.664724,0.664754,0.659265,0.664822,0.66348,0.593345,0.66329,0.6577639166666667
8,2.16,0.664708,0.660828,0.664929,0.663537,0.664946,0.663991,0.664989,0.665394,0.663289,0.660861,0.663512,0.66335,0.6636945
9,2.18,0.661701,0.662431,0.660829,0.663922,0.663339,0.659142,0.647682,0.6631,0.66069,0.66366,0.661744,0.648999,0.6597699166666666
10,2.2,0.660009,0.658114,0.663524,0.655373,0.662385,0.657131,0.657611,0.663779,0.660079,0.653847,0.661431,0.663166,0.6597040833333333
11,2.22,0.662851,0.661844,0.660759,0.661838,0.656005,0.657529,0.660882,0.65792,0.652535,0.657971,0.656601,0.657008,0.6586452500000001
12,2.24,0.648734,0.658408,0.648923,0.632957,0.660597,0.655721,0.657898,0.584285,0.643309,0.648698,0.66241,0.661051,0.6469159166666668
13,2.26,0.620024,0.659579,0.620461,0.646659,0.656875,0.658412,0.6602,0.651051,0.445057,0.642781,0.657161,0.658109,0.6313640833333333
14,2.28,0.656474,0.395697,0.653505,0.643178,0.63753,0.482777,0.641802,0.65401,0.63792,0.316463,0.638495,0.655358,0.5844340833333332
15,2.3,0.651015,0.623668,0.005596,0.592411,0.593281,0.661976,0.586281,0.591711,0.144509,0.499969,0.469417,0.60479,0.502052
16,2.32,0.627575,0.615778,0.652854,0.167034,0.453087,0.407269,0.551818,0.651707,0.638015,0.581307,0.368447,0.643432,0.5298602499999999
17,2.34,0.640852,0.492912,0.323724,0.251941,0.537015,0.544145,0.276893,0.637041,0.399027,0.484355,0.560554,0.621918,0.48086475
18,2.36,0.298714,0.634351,0.612494,0.57714,0.374873,0.296061,0.410241,0.611611,0.635621,0.629147,0.547797,0.281137,0.49243224999999996
19,2.38,0.297367,0.60463,0.460369,0.533106,0.181679,0.377948,0.596944,0.417345,0.437644,0.563115,0.39985,0.56838,0.45319808333333333
