,T [L = 60],SEED: 1665671028,SEED: 1665672762,SEED: 1665670683,SEED: 1665671373,SEED: 1665669995,SEED: 1665670340,SEED: 1665672069,SEED: 1665669652,SEED: 1665671721,SEED: 1665672415,Average
0,1.8,0.666588,0.666581,0.666582,0.666585,0.666585,0.666588,0.666584,0.666581,0.666588,0.666581,0.6665843
1,1.85,0.666556,0.666552,0.666556,0.666553,0.666556,0.666548,0.666548,0.666557,0.666557,0.666553,0.6665536
2,1.9,0.666511,0.66652,0.666505,0.666508,0.666514,0.666509,0.466615,0.666513,0.666501,0.666507,0.6465202999999999
3,1.95,0.666432,0.666432,0.666431,0.666437,0.666443,0.666437,0.666458,0.666455,0.666444,0.666449,0.6664418000000001
4,2.0,0.666288,0.666277,0.666333,0.666308,0.666333,0.666296,0.666337,0.666348,0.666353,0.666325,0.6663197999999999
5,2.05,0.666112,0.666088,0.666072,0.666168,0.666105,0.66617,0.666121,0.666114,0.666084,0.665664,0.6660698
6,2.1,0.665836,0.665745,0.665821,0.665704,0.665213,0.665689,0.665542,0.665219,0.665664,0.665835,0.6656267999999999
7,2.15,0.66535,0.664859,0.664173,0.664721,0.664524,0.665064,0.664679,0.66504,0.664349,0.664971,0.6647730000000001
8,2.2,0.662708,0.66286,0.662093,0.661438,0.656327,0.662756,0.660732,0.661932,0.661086,0.662428,0.661436
9,2.25,0.6522,0.64021,0.64926,0.651116,0.654567,0.649835,0.649107,0.642159,0.653588,0.589419,0.6431461
10,2.3,0.45771,0.570562,0.494295,0.555609,0.463245,0.380191,0.30879,0.59211,0.491577,0.382148,0.4696237
11,2.35,0.338812,0.40307,0.139458,0.404989,0.242696,0.164387,0.068753,0.456508,0.307516,0.111074,0.26372629999999997
12,2.4,0.032755,0.039356,0.384954,0.146006,0.109619,0.193432,0.167857,0.031428,0.099748,-0.06793,0.11372249999999999
13,2.45,0.217155,0.182816,0.064963,0.105344,0.039834,0.179185,0.140391,0.113498,0.139291,0.139983,0.13224600000000003
14,2.5,0.039943,0.040486,-0.035231,0.08231,0.081973,-0.036076,0.0933,0.164131,0.115183,0.126604,0.0672623
15,2.55,0.127979,-0.003123,-0.04506,0.014041,0.070888,0.022145,-0.026815,0.051007,0.112863,0.041703,0.0365628
16,2.6,0.137443,-0.105727,-0.060437,-0.048441,-0.002127,0.180868,0.093478,0.094964,-0.001765,0.012743,0.030099900000000002
17,2.65,0.078936,0.002554,0.03497,0.091625,0.078071,0.040089,0.092454,0.074424,-0.10218,-0.05594,0.0335003
18,2.7,-0.035172,-0.015007,0.055858,0.067756,0.054921,0.047493,-0.009319,0.046507,-0.043699,0.110012,0.027934999999999998
